
# Curve 0 of 2, 500 points
# x y xlow xhigh type
 21.4349 -9.5465  21.4349  21.4349  i
 21.6333 -9.51649  21.6333  21.6333  i
 21.8317 -9.52112  21.8317  21.8317  i
 22.0301 -9.55943  22.0301  22.0301  i
 22.2285 -9.63037  22.2285  22.2285  i
 22.4269 -9.73282  22.4269  22.4269  i
 22.6253 -9.8656  22.6253  22.6253  i
 22.8236 -10.0275  22.8236  22.8236  i
 23.022 -10.2171  23.022  23.022  i
 23.2204 -10.4332  23.2204  23.2204  i
 23.4188 -10.6744  23.4188  23.4188  i
 23.6172 -10.9392  23.6172  23.6172  i
 23.8156 -11.2261  23.8156  23.8156  i
 24.014 -11.5337  24.014  24.014  i
 24.2124 -11.8605  24.2124  24.2124  i
 24.4108 -12.205  24.4108  24.4108  i
 24.6092 -12.5656  24.6092  24.6092  i
 24.8076 -12.9408  24.8076  24.8076  i
 25.006 -13.329  25.006  25.006  i
 25.2044 -13.7289  25.2044  25.2044  i
 25.4028 -14.1387  25.4028  25.4028  i
 25.6012 -14.5572  25.6012  25.6012  i
 25.7996 -14.9828  25.7996  25.7996  i
 25.998 -15.414  25.998  25.998  i
 26.1964 -15.8496  26.1964  26.1964  i
 26.3948 -16.288  26.3948  26.3948  i
 26.5932 -16.728  26.5932  26.5932  i
 26.7916 -17.1683  26.7916  26.7916  i
 26.99 -17.6076  26.99  26.99  i
 27.1884 -18.0447  27.1884  27.1884  i
 27.3868 -18.4786  27.3868  27.3868  i
 27.5852 -18.908  27.5852  27.5852  i
 27.7836 -19.3319  27.7836  27.7836  i
 27.982 -19.7494  27.982  27.982  i
 28.1804 -20.1594  28.1804  28.1804  i
 28.3788 -20.5612  28.3788  28.3788  i
 28.5772 -20.9537  28.5772  28.5772  i
 28.7756 -21.3363  28.7756  28.7756  i
 28.9739 -21.7082  28.9739  28.9739  i
 29.1723 -22.0687  29.1723  29.1723  i
 29.3707 -22.4171  29.3707  29.3707  i
 29.5691 -22.7529  29.5691  29.5691  i
 29.7675 -23.0754  29.7675  29.7675  i
 29.9659 -23.3843  29.9659  29.9659  i
 30.1643 -23.679  30.1643  30.1643  i
 30.3627 -23.9591  30.3627  30.3627  i
 30.5611 -24.2242  30.5611  30.5611  i
 30.7595 -24.474  30.7595  30.7595  i
 30.9579 -24.7081  30.9579  30.9579  i
 31.1563 -24.9263  31.1563  31.1563  i
 31.3547 -25.1283  31.3547  31.3547  i
 31.5531 -25.3138  31.5531  31.5531  i
 31.7515 -25.4828  31.7515  31.7515  i
 31.9499 -25.6349  31.9499  31.9499  i
 32.1483 -25.7702  32.1483  32.1483  i
 32.3467 -25.8883  32.3467  32.3467  i
 32.5451 -25.9893  32.5451  32.5451  i
 32.7435 -26.0731  32.7435  32.7435  i
 32.9419 -26.1396  32.9419  32.9419  i
 33.1403 -26.1887  33.1403  33.1403  i
 33.3387 -26.2204  33.3387  33.3387  i
 33.5371 -26.2348  33.5371  33.5371  i
 33.7355 -26.2318  33.7355  33.7355  i
 33.9339 -26.2115  33.9339  33.9339  i
 34.1323 -26.174  34.1323  34.1323  i
 34.3307 -26.1192  34.3307  34.3307  i
 34.5291 -26.0474  34.5291  34.5291  i
 34.7275 -25.9585  34.7275  34.7275  i
 34.9259 -25.8529  34.9259  34.9259  i
 35.1242 -25.7305  35.1242  35.1242  i
 35.3226 -25.5917  35.3226  35.3226  i
 35.521 -25.4366  35.521  35.521  i
 35.7194 -25.2655  35.7194  35.7194  i
 35.9178 -25.0786  35.9178  35.9178  i
 36.1162 -24.8763  36.1162  36.1162  i
 36.3146 -24.659  36.3146  36.3146  i
 36.513 -24.4269  36.513  36.513  i
 36.7114 -24.1805  36.7114  36.7114  i
 36.9098 -23.9203  36.9098  36.9098  i
 37.1082 -23.6467  37.1082  37.1082  i
 37.3066 -23.3603  37.3066  37.3066  i
 37.505 -23.0617  37.505  37.505  i
 37.7034 -22.7514  37.7034  37.7034  i
 37.9018 -22.4302  37.9018  37.9018  i
 38.1002 -22.0987  38.1002  38.1002  i
 38.2986 -21.7577  38.2986  38.2986  i
 38.497 -21.4079  38.497  38.497  i
 38.6954 -21.0504  38.6954  38.6954  i
 38.8938 -20.6858  38.8938  38.8938  i
 39.0922 -20.3152  39.0922  39.0922  i
 39.2906 -19.9395  39.2906  39.2906  i
 39.489 -19.5598  39.489  39.489  i
 39.6874 -19.1771  39.6874  39.6874  i
 39.8858 -18.7925  39.8858  39.8858  i
 40.0842 -18.4071  40.0842  40.0842  i
 40.2826 -18.0222  40.2826  40.2826  i
 40.481 -17.6389  40.481  40.481  i
 40.6794 -17.2585  40.6794  40.6794  i
 40.8778 -16.8823  40.8778  40.8778  i
 41.0762 -16.5115  41.0762  41.0762  i
 41.2745 -16.1475  41.2745  41.2745  i
 41.4729 -15.7915  41.4729  41.4729  i
 41.6713 -15.445  41.6713  41.6713  i
 41.8697 -15.1093  41.8697  41.8697  i
 42.0681 -14.7857  42.0681  42.0681  i
 42.2665 -14.4757  42.2665  42.2665  i
 42.4649 -14.1805  42.4649  42.4649  i
 42.6633 -13.9015  42.6633  42.6633  i
